Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,Independientes
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,580000,1,4,139,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,829000,3,3,102,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1145000,2,4,224,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1175000,3,3,165,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859000,2,2,88,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500000,2,2,99,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1650000,3,3,248,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,950000,3,3,154,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1500000,2,2,168,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2100000,7,6,334,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,575000,2,3,105,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3200000,5,7,410,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2300000,5,5,265,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1420000,2,4,185,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1800000,6,5,440,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1850000,3,4,297,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1850000,3,4,297,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1290000,3,5,166,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1375000,3,4,247,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1690000,4,5,252,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2100000,3,5,392,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2200000,3,4,235,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1400000,3,4,173,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1490000,4,5,240,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2750000,5,6,300,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,370000,1,3,56,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,475000,2,4,100,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1445000,3,3,263,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,350000,1,1,79,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1650000,2,2,181,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3700000,5,6,430,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2300000,5,5,256,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1330000,3,5,234,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3200000,4,7,573,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2490000,4,4,593,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2500000,4,7,212,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1820000,3,5,380,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,420000,1,1,57,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1445000,3,3,263,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3200000,7,7,573,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1200000,3,4,168,0
