price,baths,rooms,sqft,address,Pisos,Independientes
3600000,4,5,336,"El Viso, Madrid",0,1
3000000,6,5,746,"Hortaleza, Madrid",0,1
309000,1,1,45,"Centro, Madrid",1,0
850000,3,4,238,"Fuencarral, Madrid",1,0
1250000,3,4,182,"Barrio de Salamanca, Madrid",1,0
3000000,7,5,881,"Fuencarral, Madrid",0,1
262500,1,1,63,"Rejas, Madrid",1,0
2500000,7,8,862,"Fuencarral, Madrid",0,1
1300000,4,4,247,"Fuencarral, Madrid",1,0
920000,4,5,217,"Ciudad Lineal, Madrid",1,0
3500000,2,4,738,"Fuencarral, Madrid",0,1
970000,4,4,279,"San Blas, Madrid",0,1
975000,4,7,484,"Fuencarral, Madrid",0,1
3950000,5,4,290,"Barrio de Salamanca, Madrid",1,0
203000,1,1,47,"Almendrales, Madrid",1,0
2500000,7,6,510,"Moncloa, Madrid",0,1
1490000,4,5,240,"Chamartín, Madrid",1,0
1050000,3,5,265,"Fuencarral, Madrid",1,0
460000,2,2,104,"Fuencarral, Madrid",1,0
720000,2,3,212,"San Blas, Madrid",1,0
1950000,7,6,650,"Fuencarral, Madrid",0,1
375000,2,1,313,"San Blas, Madrid",1,0
2075000,4,4,284,"Fuencarral, Madrid",1,0
1150000,2,4,244,"Ciudad Lineal, Madrid",1,0
880000,3,4,239,"Hortaleza, Madrid",1,0
735000,2,2,107,"Retiro, Madrid",1,0
945000,2,3,159,"Chamberí, Madrid",1,0
599000,2,3,106,"Retiro, Madrid",1,0
1650000,3,4,290,"Hortaleza, Madrid",1,0
2750000,5,6,300,"Chamartín, Madrid",0,1
685000,3,2,166,"Goya, Madrid",1,0
1175000,3,4,171,"Centro, Madrid",1,0
899000,2,3,177,"Barrio de Salamanca, Madrid",1,0
329900,2,2,80,"Colina, Madrid",1,0
1575000,2,2,209,"Centro, Madrid",1,0
5500000,8,8,1150,"Hortaleza, Madrid",0,1
1200000,4,4,421,"Valdemarín, Madrid",1,0
1495000,3,4,224,"Lista, Madrid",1,0
1700000,4,4,387,"Fuencarral, Madrid",1,0
795000,2,3,128,"Fuente del Berro, Madrid",1,0
949000,2,2,111,"Goya, Madrid",1,0
1990000,5,4,242,"Ciudad Jardín, Madrid",0,1
698000,2,2,108,"Lista, Madrid",1,0
450000,1,3,78,"Guindalera, Madrid",1,0
1715000,2,4,130,"Huertas-Cortes, Madrid",1,0
650000,2,2,68,"Huertas-Cortes, Madrid",1,0
1320000,3,4,255,"Argüelles, Madrid",1,0
299000,2,3,154,"Los Ángeles, Madrid",1,0
1450000,3,4,218,"Moncloa, Madrid",1,0
1097900,3,4,203,"Simancas, Madrid",0,1
390000,1,0,64,"Chamberí, Madrid",1,0
910000,4,5,207,"Ventilla-Almenara, Madrid",1,0
654000,2,2,159,"Lavapiés-Embajadores, Madrid",1,0
1078900,3,4,239,"Simancas, Madrid",0,1
749700,2,3,143,"Valdebebas - Valdefuentes, Madrid",1,0
288000,1,1,52,"Lavapiés-Embajadores, Madrid",1,0
760000,2,2,101,"Ibiza, Madrid",1,0
920000,3,5,210,"Argüelles, Madrid",1,0
300000,1,1,75,"Berruguete, Madrid",1,0
560000,2,2,70,"Argüelles, Madrid",1,0
150000,1,1,24,"Lavapiés-Embajadores, Madrid",1,0
1400000,4,7,413,"Costillares, Madrid",1,0
1140000,2,3,126,"Ibiza, Madrid",1,0
859000,3,3,115,"Centro, Madrid",1,0
800000,2,3,124,"Lista, Madrid",1,0
389000,2,2,96,"Simancas, Madrid",1,0
320000,1,2,66,"Cuatro Caminos, Madrid",1,0
425000,1,3,80,"Lavapiés-Embajadores, Madrid",1,0
850000,2,2,115,"Chamberí, Madrid",1,0
380000,2,2,50,"Chamberí, Madrid",1,0
999500,3,5,193,"Castilla, Madrid",1,0
670000,2,4,126,"Nueva España, Madrid",1,0
1500000,3,4,173,"Castellana, Madrid",1,0
649000,1,2,73,"Chamberí, Madrid",1,0
2690000,5,5,270,"Almagro, Madrid",1,0
1356000,2,2,122,"Palacio, Madrid",1,0
2690000,8,5,450,"Conde Orgaz-Piovera, Madrid",0,1
2600000,4,4,459,"Almagro, Madrid",1,0
1320000,2,3,140,"Castellana, Madrid",1,0
660000,1,1,58,"Argüelles, Madrid",1,0
464000,2,3,53,"Malasaña-Universidad, Madrid",1,0
