Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,size_range,Independientes
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810000,2,3,131,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,5,4,291,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,2,3,100,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650000,3,3,200,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695000,3,3,181,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725000,2,5,200,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875000,2,3,101,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799000,2,2,75,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680000,3,3,199,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055000,3,2,242,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195000,3,6,213,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550000,3,3,156,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950000,4,5,240,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650000,2,7,272,Q4 - Very Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320000,2,3,140,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,5,4,291,Q4 - Very Large,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,325000,1,2,76,Q1 - Small,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,995000,3,3,160,Q3 - Large,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1970000,4,4,283,Q4 - Very Large,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1100000,3,3,160,Q3 - Large,1
